,Year,Variable Rate,5 Year Rate,Best Rate?,Best Over Worst
0,1975,8.70%,11.50%,variable,2.80%
1,1976,9.95%,12.00%,variable,2.05%
2,1977,7.95%,10.25%,variable,2.30%
3,1978,8.95%,10.25%,variable,1.30%
4,1979,11.70%,11.25%,fixed,0.45%
5,1980,13.45%,14.50%,variable,1.05%
6,1981,19.20%,18.13%,fixed,1.07%
7,1982,16.20%,19.25%,variable,3.05%
8,1983,10.70%,13.50%,variable,2.80%
9,1984,11.70%,13.50%,variable,1.80%
10,1985,10.20%,11.75%,variable,1.55%
11,1986,9.95%,11.25%,variable,1.30%
12,1987,9.20%,11.25%,variable,2.05%
13,1988,10.45%,11.75%,variable,1.30%
14,1989,13.20%,12.00%,fixed,1.20%
15,1990,13.95%,13.25%,fixed,0.70%
16,1991,9.45%,11.25%,variable,1.80%
17,1992,7.20%,9.63%,variable,2.43%
18,1993,5.70%,8.85%,variable,3.15%
19,1994,6.70%,9.90%,variable,3.20%
20,1995,7.95%,8.95%,variable,1.00%
21,1996,6.20%,7.95%,variable,1.75%
22,1997,4.45%,7.00%,variable,2.55%
23,1998,6.20%,6.95%,variable,0.75%
24,1999,5.95%,7.50%,variable,1.55%
25,2000,7.20%,8.30%,variable,1.10%
26,2001,5.95%,7.50%,variable,1.55%
27,2002,3.95%,6.85%,variable,2.90%
28,2003,4.45%,6.45%,variable,2.00%
29,2004,3.70%,6.30%,variable,2.60%
30,2005,3.95%,6.05%,variable,2.10%
31,2006,5.70%,6.60%,variable,0.90%
32,2007,5.70%,7.19%,variable,1.49%
33,2008,4.45%,7.15%,variable,2.70%
34,2009,1.95%,5.79%,variable,3.84%
35,2010,2.20%,5.42%,variable,3.22%
36,2011,2.70%,5.39%,variable,2.69%
37,2012,2.70%,5.24%,variable,2.54%
38,2013,2.70%,5.24%,variable,2.54%
39,2014,2.70%,4.79%,variable,2.09%
40,2015,2.55%,4.64%,variable,2.09%
41,2016,2.40%,4.64%,variable,2.24%
42,2017,2.40%,4.64%,variable,2.24%
43,2018,3.15%,5.34%,variable,2.19%
44,2019,3.65%,5.34%,variable,1.69%
45,2020,2.15%,4.94%,variable,2.79%
46,2021,2.15%,4.79%,variable,2.64%
